0	1	0	2.59929	26.8441	5.30275e+11
1	1	0	208.747	210.463	2.84935e+09
2	0.999	0.031607	207.585	206.235	3.44823e+08
3	0.556	0.496854	2381.3	3610.54	2.86694e+06
4	1	0	1263.84	1478.2	5.79543e+06
5	0.414	0.492548	40545.4	29448	14448
6	0.291	0.454224	8928.73	16247.1	2064
7	0.256	0.436422	1447.34	5087.76	81874
8	0.637	0.480865	25237.8	24724	541658
9	0	0	-nan	-nan	3424
10	0.837	0.369366	14428.6	16888.5	3.11466e+06
11	1	0	141.697	165.29	3.20659e+09
12	0.998	0.0446766	820.221	1767.05	4.74898e+08
13	1	0	2383.76	2644.94	1.49194e+06
14	0.249	0.432434	21704.7	29193.1	1.56911e+06
15	0.82	0.384187	2023.66	2070.07	3.03493e+06
16	0.453	0.497786	36646.1	29454.9	14448
17	0.039	0.193595	8035.93	18777.8	62720
18	0.695	0.460407	2179.9	5482.48	2.375e+07
19	0.097	0.295958	20415.1	27992.5	87086
20	0.046	0.209485	837.593	895.99	632168
21	0.998	0.0446766	669.173	1028.18	5.07532e+08
22	0.747	0.434731	22198.7	27082.5	541658
23	0	0	-nan	-nan	3424
24	0.992	0.0890842	34.9475	38.5729	1.36008e+09
25	1	0	30.3979	36.1672	9.87269e+09
26	0.684	0.464913	6483.58	11811.3	2.71005e+06
27	0.96	0.195959	1701.69	2709.39	2.30921e+07
28	0.788	0.408725	36798.9	24896.3	1.11473e+06
29	0.327	0.469117	4617.04	11352.9	62890
30	0.728	0.44499	3183.61	8566.98	2.68255e+07
31	0.528	0.499215	32712	25849	89188
32	0.603	0.489276	11402.6	22508	1.93672e+07
33	0.982	0.132951	4263.24	8094.61	7.70251e+06
34	0.117	0.32142	3240.31	11443.7	628694
35	0.924	0.264998	1478.69	4091.49	1.7099e+07
36	0.916	0.277388	219.823	307.199	4.9126e+07
37	0.086	0.280364	29559.4	30785.9	466192
38	1	0	26.7806	39.0877	1.44792e+10
39	1	0	5.43857	11.9229	2.00667e+11
40	0.926	0.261771	1984.9	8443.94	2.11162e+08
41	0.99	0.0994987	663.713	2382.82	1.42329e+08
42	0.994	0.0772269	820.199	3574.13	4.91968e+08
43	0.76	0.427083	8859.89	16467.4	1.33484e+06
44	0.998	0.0446766	4329.72	9184.64	1.29318e+09
45	0.824	0.38082	3116.17	8839.4	2.71005e+06
46	0.987	0.113274	1125.36	1362.03	2.30921e+07
47	0.476	0.499424	22631	30864.3	1.11473e+06
48	0.373	0.483602	1008.71	1469.39	628694
49	0.878	0.327286	3642.78	8125.4	9.40354e+06
50	0.933	0.250022	1941.04	2732.97	3.0021e+07
51	1	0	1648.56	1843.28	1.71534e+08
52	0.65	0.47697	4896.66	9172.16	104557
53	0.679	0.466861	39661.8	28991.4	1.91684e+06
54	0.375	0.484123	5213.34	14270.4	1.27657e+07
55	0.185	0.388298	38096.1	29335.5	457900
56	0	0	-nan	-nan	592
57	0.913	0.281835	1529.63	6016.28	560458
58	0.531	0.499038	1302.67	5171.54	1.45809e+06
59	0.814	0.389107	15655.4	23670.2	1.675e+06
60	0.157	0.363801	2572.62	3848.32	62890
61	0.679	0.466861	15693.4	19019.6	99084
62	0.941	0.235625	26852.8	23836.2	1.09206e+07
63	1	0	415.917	429.303	4.39245e+07
64	0.98	0.14	568.096	1132.57	4.9126e+07
65	0.392	0.488197	25693.2	29790.6	466192
66	0.949	0.219998	3756.5	7473.72	1.0532e+06
67	1	0	286.619	827.409	1.42329e+08
68	0.999	0.031607	297.263	299.497	4.91968e+08
69	0.142	0.34905	17792	27291.1	1.33484e+06
70	1	0	1109.44	3011.1	9.54486e+06
71	0.096	0.294591	51528.1	28874.5	64589
72	0.933	0.250022	3448.95	3680.98	1.20735e+06
73	0	0	-nan	-nan	2064
74	0.943	0.231843	4184.8	9208.44	4.99663e+06
75	0.83	0.375633	467.92	1470.42	8.18846e+07
76	0.038	0.191196	2749.32	2652.23	8256
77	1	0	661.851	2748.2	1.06178e+08
78	0.53	0.499099	35809.3	28183.3	89188
79	0.891	0.311639	895.65	1254.01	1.93672e+07
80	0.942	0.233743	817.977	1570.36	6.64931e+06
81	0.999	0.031607	576.311	3998.18	1.28363e+09
82	0.699	0.458693	12150.1	16852.5	495869
83	0.498	0.499996	39952.9	29082.2	250736
84	0.973	0.162083	9868.41	19709.9	1.09206e+07
85	0.911	0.284744	1842.59	5896.49	1.67293e+06
86	0.6	0.489898	2757.7	10969.9	6.43475e+06
87	1	0	41.126	53.7224	1.13811e+10
88	0.208	0.405877	9903.85	17545.3	2.71005e+06
89	0.215	0.410822	42831.3	28599.2	1.11473e+06
90	0.158	0.364741	32608.1	31199.4	2.30921e+07
91	0.268	0.442918	29482	26218	62890
92	0.263	0.440262	24352.9	29184.4	1.91684e+06
93	0.084	0.277388	38264.1	33146.5	457900
94	0.097	0.295958	27301.9	32650.1	1.27657e+07
95	0	0	-nan	-nan	16
96	0.912	0.283295	2435.31	6363.55	9.40354e+06
97	0.934	0.248282	4731.08	10610.3	1.71534e+08
98	0.956	0.205095	2522.7	5987.78	3.0021e+07
99	0.488	0.499856	18505.6	25052.3	99084
100	0.392	0.488197	23417.1	26025.9	495869
101	0.895	0.306553	6490.59	16993.9	1.09206e+07
102	0.451	0.497593	8250.67	17594.6	1.45809e+06
103	0.882	0.322608	18578.4	24120.5	1.675e+06
104	0.13	0.336303	7541.13	17486.3	628694
105	0	0	-nan	-nan	576
106	0.305	0.460407	1979.26	4323.55	104557
107	0.002	0.0446766	595.195	449.614	64589
