678	-2.9	0000000010100101	4	2
701	-2.9	0000000000000001	4	2
720	-2.9	0000000000000011	4	2
769	-2.9	0000000000100001	4	2
770	-2.9	0000000001000001	4	2
771	-2.9	0000000001100001	4	2
807	-2.9	0000000000100011	4	2
818	-2.9	0000000000100101	4	2
832	-2.9	0000000001000101	4	2
833	-2.9	0000000001000011	4	2
840	-2.9	0000000001100011	4	2
852	-2.9	0000000001100101	4	2
867	-2.9	0000000011100000	2	2
870	-2.9	0000000011100110	2	2
879	-2.9	0000000011100000	2	2
886	-2.9	0000000011100110	2	2
888	-2.9	0000000000000000	3	2
889	-2.9	0000000000000000	3	2
908	-2.9	0000000000011000	3	2
909	-2.9	0000000000011000	3	2
936	-2.9	0000000001000010	3	2
937	-2.9	0000000000100100	3	2
938	-2.9	0000000000100100	3	2
939	-2.9	0000000001000010	3	2
941	-2.9	0000000001100110	3	2
944	-2.9	0000000001011010	3	2
945	-2.9	0000000001100110	3	2
946	-2.9	0000000000000000	3	2
947	-2.9	0000000000000000	3	2
948	-2.9	0000000000000000	3	2
953	-2.9	0000000010000000	3	2
965	-2.9	0000000001000000	3	2
967	-2.9	0000000000000010	3	2
968	-2.9	0000000000000010	3	2
969	-2.9	0000000001000000	3	2
976	-2.9	0000000000000100	3	2
977	-2.9	0000000000000110	3	2
983	-2.9	0000000000100000	3	2
985	-2.9	0000000000000100	3	2
986	-2.9	0000000000100000	3	2
988	-2.9	0000000010100000	3	2
989	-2.9	0000000001100000	3	2
990	-2.9	0000000001100000	3	2
993	-2.9	0000000000000110	3	2
998	-2.9	0000000000011000	3	2
1001	-2.9	0000000000011000	3	2
1011	-2.9	0000000001011000	3	2
1013	-2.9	0000000000011010	3	2
1014	-2.9	0000000000011010	3	2
1016	-2.9	0000000001011000	3	2
1022	-2.9	0000000010000100	3	2
1023	-2.9	0000000010000010	3	2
1024	-2.9	0000000010000110	3	2
1038	-2.9	0000000000011100	3	2
1042	-2.9	0000000000111000	3	2
1066	-2.9	0000000001000100	3	2
1068	-2.9	0000000000100010	3	2
1069	-2.9	0000000000100010	3	2
1070	-2.9	0000000001000100	3	2
1074	-2.9	0000000001000010	3	2
1075	-2.9	0000000001000110	3	2
1076	-2.9	0000000011000100	3	2
1081	-2.9	0000000000100100	3	2
1084	-2.9	0000000000100100	3	2
1088	-2.9	0000000010100100	3	2
