0	0 0 0 0 0 0 0 0
1	0 0 0 2 0 0 0 4
2	0 0 0 6 0 0 0 6
3	0 0 1 8 0 0 1 8
4	0 0 1 10 0 0 5 8
5	0 0 1 12 0 0 3 8
6	0 0 1 14 0 0 7 8
7	0 0 2 2 0 0 4 4
8	0 0 2 4 0 0 2 4
9	0 0 2 6 0 0 6 4
10	0 0 3 10 0 0 5 12
11	0 0 3 12 0 0 3 12
12	0 0 3 14 0 0 7 12
13	0 0 4 2 0 0 4 2
14	0 0 4 6 0 0 6 2
15	0 0 5 10 0 0 5 10
16	0 0 5 14 0 0 7 10
17	0 0 6 6 0 0 6 6
18	0 0 7 14 0 0 7 14
19	0 1 8 2 0 4 1 8
20	0 1 8 4 0 2 1 8
21	0 1 8 6 0 6 1 8
22	0 1 9 10 0 5 9 8
23	0 1 9 12 0 3 9 8
24	0 1 9 14 0 7 9 8
25	0 1 10 2 0 4 5 8
26	0 1 10 4 0 2 5 8
27	0 1 10 6 0 6 5 8
28	0 1 11 8 0 1 13 8
29	0 1 11 10 0 5 13 8
30	0 1 11 12 0 3 13 8
31	0 1 11 14 0 7 13 8
32	0 1 12 2 0 4 3 8
33	0 1 12 4 0 2 3 8
34	0 1 12 6 0 6 3 8
35	0 1 13 10 0 5 11 8
36	0 1 13 14 0 7 11 8
37	0 1 14 2 0 4 7 8
38	0 1 14 4 0 2 7 8
39	0 1 14 6 0 6 7 8
40	0 1 15 8 0 1 15 8
41	0 1 15 10 0 5 15 8
42	0 1 15 12 0 3 15 8
43	0 1 15 14 0 7 15 8
44	0 2 0 2 0 4 0 4
45	0 2 0 4 0 2 0 4
46	0 2 0 6 0 4 0 6
47	0 2 1 10 0 5 8 4
48	0 2 1 12 0 3 8 4
49	0 2 1 14 0 7 8 4
50	0 2 2 2 0 4 4 4
51	0 2 2 4 0 2 4 4
52	0 2 2 6 0 6 4 4
53	0 2 3 10 0 5 12 4
54	0 2 3 12 0 3 12 4
55	0 2 3 14 0 7 12 4
56	0 2 4 2 0 4 2 4
57	0 2 4 6 0 6 2 4
58	0 2 5 10 0 5 10 4
59	0 2 5 12 0 3 10 4
60	0 2 5 14 0 7 10 4
61	0 2 6 2 0 4 6 4
62	0 2 6 4 0 2 6 4
63	0 2 6 6 0 6 6 4
64	0 2 7 10 0 5 14 4
65	0 2 7 12 0 3 14 4
66	0 2 7 14 0 7 14 4
67	0 3 8 2 0 4 1 12
68	0 3 8 6 0 6 1 12
69	0 3 9 10 0 5 9 12
70	0 3 9 12 0 3 9 12
71	0 3 9 14 0 7 9 12
72	0 3 10 2 0 4 5 12
73	0 3 10 6 0 6 5 12
74	0 3 11 14 0 7 13 12
75	0 3 12 2 0 4 3 12
76	0 3 12 6 0 6 3 12
77	0 3 13 10 0 5 11 12
78	0 3 13 14 0 7 11 12
79	0 3 14 2 0 4 7 12
80	0 3 14 6 0 6 7 12
81	0 3 15 10 0 5 15 12
82	0 3 15 12 0 3 15 12
83	0 3 15 14 0 7 15 12
84	0 4 1 10 0 5 8 2
85	0 4 1 14 0 7 8 2
86	0 4 2 2 0 4 4 2
87	0 4 2 6 0 6 4 2
88	0 4 3 10 0 5 12 2
89	0 4 3 14 0 7 12 2
90	0 4 4 6 0 6 2 2
91	0 4 5 10 0 5 10 2
92	0 4 5 14 0 7 10 2
93	0 4 6 2 0 4 6 2
94	0 4 6 6 0 6 6 2
95	0 4 7 10 0 5 14 2
96	0 4 7 14 0 7 14 2
97	0 5 8 6 0 6 1 10
98	0 5 9 10 0 5 9 10
99	0 5 9 14 0 7 9 10
100	0 5 10 6 0 6 5 10
101	0 5 11 10 0 5 13 10
102	0 5 12 6 0 6 3 10
103	0 5 13 14 0 7 11 10
104	0 5 14 6 0 6 7 10
105	0 5 15 14 0 7 15 10
106	0 6 0 6 0 6 0 6
107	0 6 1 14 0 7 8 6
108	0 6 2 6 0 6 4 6
109	0 6 3 14 0 7 12 6
110	0 6 5 14 0 7 10 6
111	0 6 6 6 0 6 6 6
112	0 6 7 14 0 7 14 6
113	0 7 9 14 0 7 9 14
114	0 7 11 14 0 7 13 14
115	0 7 15 14 0 7 15 14
116	1 8 1 8 1 8 1 8
117	1 8 1 10 1 8 5 8
118	1 8 1 12 1 8 3 8
119	1 8 1 14 1 8 7 8
120	1 8 2 2 1 8 4 4
121	1 8 2 4 1 8 2 4
122	1 8 2 6 1 8 6 4
123	1 8 3 10 1 8 5 12
124	1 8 3 12 1 8 3 12
125	1 8 3 14 1 8 7 12
126	1 8 4 2 1 8 4 2
127	1 8 4 6 1 8 6 2
128	1 8 5 10 1 8 5 10
129	1 8 5 14 1 8 7 10
130	1 8 6 6 1 8 6 6
131	1 8 7 14 1 8 7 14
132	1 9 8 2 1 9 8 4
133	1 9 8 6 1 9 8 6
134	1 9 10 2 4 5 9 8
135	1 9 10 4 2 5 9 8
136	1 9 10 6 5 9 8 6
137	1 9 12 6 3 9 8 6
138	1 9 13 8 1 11 9 8
139	1 9 14 2 4 7 9 8
140	1 9 14 4 2 7 9 8
141	1 9 14 6 6 7 9 8
142	1 9 15 14 7 15 9 8
143	1 10 1 10 5 8 5 8
144	1 10 1 12 3 8 5 8
145	1 10 1 14 5 8 7 8
146	1 10 2 2 4 4 5 8
147	1 10 2 4 2 4 5 8
148	1 10 2 6 4 5 8 6
149	1 10 3 8 1 12 5 8
150	1 10 3 10 5 8 5 12
151	1 10 3 12 3 12 5 8
152	1 10 3 14 5 8 7 12
153	1 10 4 2 2 5 8 4
154	1 10 4 4 2 2 5 8
155	1 10 4 6 2 5 8 6
156	1 10 5 8 1 10 5 8
157	1 10 5 10 5 8 5 10
158	1 10 5 12 3 10 5 8
159	1 10 5 14 5 8 7 10
160	1 10 6 2 4 6 5 8
161	1 10 6 4 2 6 5 8
162	1 10 6 6 5 8 6 6
163	1 10 7 8 1 14 5 8
164	1 10 7 10 5 8 5 14
165	1 10 7 12 3 14 5 8
166	1 10 7 14 5 8 7 14
167	1 11 8 2 1 13 8 4
168	1 11 8 4 1 13 8 2
169	1 11 8 6 1 13 8 6
170	1 11 9 10 5 9 13 8
171	1 11 10 2 4 5 13 8
172	1 11 10 4 2 5 13 8
173	1 11 10 6 5 13 8 6
174	1 11 12 2 3 13 8 4
175	1 11 12 6 3 13 8 6
176	1 11 14 2 4 7 13 8
177	1 11 14 4 2 7 13 8
178	1 11 14 6 6 7 13 8
179	1 12 1 12 3 8 3 8
180	1 12 1 14 3 8 7 8
181	1 12 2 2 3 8 4 4
182	1 12 2 4 2 4 3 8
183	1 12 2 6 3 8 6 4
184	1 12 3 8 1 12 3 8
185	1 12 3 10 3 8 5 12
186	1 12 3 12 3 8 3 12
187	1 12 3 14 3 8 7 12
188	1 12 4 2 2 3 8 4
189	1 12 4 4 2 2 3 8
190	1 12 4 6 2 3 8 6
191	1 12 5 10 3 8 5 10
192	1 12 5 12 3 8 3 10
193	1 12 5 14 3 8 7 10
194	1 12 6 2 3 8 4 6
195	1 12 6 4 2 6 3 8
196	1 12 6 6 3 8 6 6
197	1 12 7 10 3 8 5 14
198	1 12 7 12 3 8 3 14
199	1 12 7 14 3 8 7 14
200	1 13 9 12 3 9 11 8
201	1 13 10 2 4 5 11 8
202	1 13 10 4 2 5 11 8
203	1 13 10 6 5 11 8 6
204	1 13 12 2 3 11 8 4
205	1 13 12 6 3 11 8 6
206	1 13 14 2 4 7 11 8
207	1 13 14 4 2 7 11 8
208	1 13 14 6 6 7 11 8
209	1 14 1 14 7 8 7 8
210	1 14 2 2 4 4 7 8
211	1 14 2 4 2 4 7 8
212	1 14 2 6 4 7 8 6
213	1 14 3 10 5 12 7 8
214	1 14 3 12 3 12 7 8
215	1 14 3 14 7 8 7 12
216	1 14 4 2 2 7 8 4
217	1 14 4 4 2 2 7 8
218	1 14 4 6 2 7 8 6
219	1 14 5 10 5 10 7 8
220	1 14 5 12 3 10 7 8
221	1 14 5 14 7 8 7 10
222	1 14 6 2 4 6 7 8
223	1 14 6 4 2 6 7 8
224	1 14 6 6 6 6 7 8
225	1 14 7 8 1 14 7 8
226	1 14 7 10 5 14 7 8
227	1 14 7 12 3 14 7 8
228	1 14 7 14 7 8 7 14
229	1 15 8 2 1 15 8 4
230	1 15 8 6 1 15 8 6
231	1 15 9 14 7 9 15 8
232	1 15 10 2 4 5 15 8
233	1 15 10 4 2 5 15 8
234	1 15 10 6 5 15 8 6
235	1 15 11 14 7 13 15 8
236	1 15 12 4 2 3 15 8
237	1 15 12 6 3 15 8 6
238	1 15 14 2 4 7 15 8
239	1 15 14 4 2 7 15 8
240	1 15 14 6 6 7 15 8
241	1 15 15 8 1 15 15 8
242	2 2 2 2 4 4 4 4
243	2 2 2 4 2 4 4 4
244	2 2 2 6 4 4 4 6
245	2 2 3 10 4 4 5 12
246	2 2 3 12 3 12 4 4
247	2 2 3 14 4 4 7 12
248	2 2 4 4 2 2 4 4
249	2 2 4 6 2 4 4 6
250	2 2 5 10 4 4 5 10
251	2 2 5 12 3 10 4 4
252	2 2 5 14 4 4 7 10
253	2 2 6 4 2 6 4 4
254	2 2 6 6 4 4 6 6
255	2 2 7 10 4 4 5 14
256	2 2 7 12 3 14 4 4
257	2 2 7 14 4 4 7 14
258	2 3 9 10 4 5 9 12
259	2 3 9 12 3 9 12 4
260	2 3 9 14 4 7 9 12
261	2 3 10 4 2 5 12 4
262	2 3 10 6 4 6 5 12
263	2 3 11 10 4 5 13 12
264	2 3 11 14 4 7 13 12
265	2 3 12 4 2 3 12 4
266	2 3 12 6 3 12 4 6
267	2 3 13 10 4 5 11 12
268	2 3 14 4 2 7 12 4
269	2 3 14 6 4 6 7 12
270	2 3 15 10 4 5 15 12
271	2 3 15 14 4 7 15 12
272	2 4 2 4 2 4 2 4
273	2 4 2 6 2 4 6 4
274	2 4 3 10 2 4 5 12
275	2 4 3 12 2 4 3 12
276	2 4 3 14 2 4 7 12
277	2 4 5 10 2 4 5 10
278	2 4 5 14 2 4 7 10
279	2 4 6 6 2 4 6 6
280	2 4 7 14 2 4 7 14
281	2 5 9 10 4 5 9 10
282	2 5 9 12 3 9 10 4
283	2 5 9 14 4 7 9 10
284	2 5 10 4 2 5 10 4
285	2 5 10 6 4 6 5 10
286	2 5 11 10 4 5 13 10
287	2 5 11 12 3 13 10 4
288	2 5 11 14 4 7 13 10
289	2 5 12 6 3 10 4 6
290	2 5 13 10 4 5 11 10
291	2 5 13 12 3 11 10 4
292	2 5 13 14 4 7 11 10
293	2 5 14 4 2 7 10 4
294	2 5 14 6 4 6 7 10
295	2 5 15 10 4 5 15 10
296	2 5 15 12 3 15 10 4
297	2 5 15 14 4 7 15 10
298	2 6 2 6 4 6 4 6
299	2 6 3 10 4 5 12 6
300	2 6 3 12 3 12 6 4
301	2 6 3 14 4 7 12 6
