470	-4.6	1	2	2
471	-4.6	1	2	2
472	-4.6	1	2	2
473	-4.6	1	2	2
474	-4.6	1	2	2
893	-4	1	2	2
894	-4	1	2	2
895	-4	1	2	2
896	-4	1	2	2
897	-4	1	2	2
977	-4.6	1	2	2
978	-4.6	1	2	2
979	-4.6	1	2	2
980	-4.6	1	2	2
1190	-4	1	2	2
1191	-4	1	2	2
1192	-4	1	2	2
1193	-4	1	2	2
1194	-4	1	2	2
1332	-4	1	2	2
1333	-4	1	2	2
1334	-4	1	2	2
1336	-4.6	1	2	2
1337	-4.6	1	2	2
1338	-4.6	1	2	2
1339	-4.6	1	2	2
1340	-4.6	1	2	2
1341	-4.6	1	2	2
1449	-4	1	1	2
1450	-4	1	1	2
1451	-4	1	1	2
1452	-4	1	1	2
1453	-4	1	1	2
1985	-4.6	1	1	2
1986	-4.6	1	1	2
2583	-4	1	1	2
2584	-4	1	1	2
2630	-4	1	1	2
2631	-4	1	1	2
2632	-4	1	1	2
2633	-4	1	1	2
2683	-4.6	1	1	2
2699	-4	1	2	2
2700	-4	1	2	2
2702	-4.6	1	2	2
2703	-4.6	1	2	2
2704	-4.6	1	2	2
